building_type,urban,rural
A,1,1
A1,1,1
A2,1,1
A3,1,1
A4,1,1
C,3,1
C1,3,1
C1H,15,15
C1L,1,1
C1M,6,6
C2,3,1
C2L,1,1
C2M,6,6
C3,3,1
C3L,1,1
C3M,6,6
C4,3,1
C4M,6,6
DS,3,1
DS2,3,1
DS3,3,1
DS4,3,1
INF,3,1
M,1,1
M1,1,1
M2,1,1
MH,1,1
MS,3,1
PC1,3,1
PC2,3,1
PC2L,1,1
PC4,3,1
RE,3,1
RM,3,1
RM1,3,1
RM1L,1,1
RM2,3,1
RM2H,15,15
RM2L,1,1
RM2M,6,6
RS,3,1
RS1,3,1
RS2,3,1
RS3,3,1
RS4,3,1
RS5,3,1
S,3,1
S1,3,1
S1L,1,1
S2,3,1
S2L,1,1
S3,3,1
S4,3,1
S4H,15,15
S4L,1,1
S4M,6,6
S5,3,1
S5L,1,1
UCB,3,1
UFB,3,1
UFB1,3,1
UFB2,3,1
UFB3,3,1
UFB4,3,1
UFB5,3,1
UNK,1,1
W,1,1
W1,1,1
W2,1,1
W3,1,1
W4,1,1
W5,1,1
W6,1,1
